name,type,latitude,longitude,municipality
Ludhiana Airport,medium_airport,30.854700088500977,75.95259857177734,
Leh Kushok Bakula Rimpochee Airport,medium_airport,34.135899,77.546501,Leh
Chaudhary Charan Singh International Airport,large_airport,26.760599,80.889297,Lucknow
Lalitpur Airport,small_airport,24.71699905395508,78.41699981689453,Lalitpur
Moradabad Airport,medium_airport,28.81746,78.92187,Moradabad
Pathankot Airport,medium_airport,32.233611,75.634444,Pathankot
Patiala Airport,small_airport,30.3148,76.364502,
Pantnagar Airport,medium_airport,29.0334,79.473701,Pantnagar
Phalodi Air Force Station,small_airport,27.104866,72.212894,
Fursatganj Airport,small_airport,26.248501,81.380501,Tarauna
Sirsa Air Force Station,medium_airport,29.5606,75.006104,
Shimla Airport,small_airport,31.0818,77.068001,Jubbarhatti
Sarsawa Air Force Station,small_airport,29.994303,77.42456,Sherpur Naqeebpur
Sheikh ul Alam International Airport,large_airport,33.987099,74.7742,Srinagar
Satna Airport,small_airport,24.56262,80.852927,
Shravasti Airport,small_airport,27.499732,82.032927,Shravasti
Uttarlai Airport,small_airport,25.813,71.4823,
Udhampur Air Force Station,medium_airport,32.902152,75.155709,Udhampur
Kovilpatti Airport,small_airport,9.15389,77.821198,Nallatinputhur
Harihar Airport,small_airport,14.534533,75.786879,Harihar
Campbell Bay Airport / INS Baaz,medium_airport,7.01304,93.922798,Campbell Bay
Hosur Airport,small_airport,12.661299705505373,77.76719665527344,
INS Rajali / Arakkonam Naval Air Station,small_airport,13.0712,79.6912,Arakkonam
Agatti Airport,medium_airport,10.8237,72.176003,Agatti
HAL Airport,medium_airport,12.95,77.668198,Bangalore
Bellary Airport,medium_airport,15.162799835205078,76.88279724121094,Bellary
Kempegowda International Airport Bengaluru,large_airport,13.1979,77.706299,Bengaluru
Bidar Airport / Bidar Air Force Station,medium_airport,17.9081,77.487099,Bidar
Vijayawada International Airport,large_airport,16.530011,80.804888,Vijayawada
Coimbatore International Airport,large_airport,11.03,77.043404,Coimbatore
INS Garuda / Willingdon Island Naval Air Station,small_airport,9.946064,76.271947,Kochi
Cochin International Airport,large_airport,10.151047,76.400838,Kochi
Calicut International Airport,large_airport,11.135996,75.955152,Calicut
Kadapa Airport,medium_airport,14.513154,78.769183,Kadapa
Car Nicobar Air Force Base,medium_airport,9.153056,92.819273,IAF Camp
Dundigul Air Force Academy,medium_airport,17.627199173,78.4033966064,Hyderabad
Manohar International Airport,large_airport,15.744257,73.860625,Mopa
Kalaburagi Airport,small_airport,17.308154,76.965246,Kalaburagi
Goa Dabolim International Airport,large_airport,15.380062,73.833328,Vasco da Gama
Hakimpet Airport,small_airport,17.553499,78.524902,Secunderabad
Rajiv Gandhi International Airport,large_airport,17.231318,78.429855,Hyderabad
Begumpet Airport,medium_airport,17.4531,78.467598,Hyderabad
Jindal Vijaynagar Airport,small_airport,15.175921,76.63303,Toranagallu
Kannur International Airport,large_airport,11.916343,75.544979,Kannur
Baldota Koppal Aerodrome,small_airport,15.359481,76.219411,Basapur
Kurnool Airport,medium_airport,15.716288,78.16923,Orvakal
Madurai Airport,medium_airport,9.83450984955,78.09339904790001,Madurai
Mangaluru International Airport,large_airport,12.95471,74.886812,Mangaluru
Chennai International Airport,large_airport,12.990005,80.169296,Chennai
Mysore Airport,medium_airport,12.229751,76.653683,Mysore
Nagarjuna Sagar Airport,small_airport,16.541574,79.316504,Nagarjuna Sagar
Neyveli Airport,small_airport,11.612956,79.527382,Neyveli
Veer Savarkar International Airport / INS Utkrosh,large_airport,11.640194,92.72902,Port Blair
Pondicherry Airport,medium_airport,11.968,79.812,Puducherry (Pondicherry)
Sri Sathya Sai Airport,medium_airport,14.1492996216,77.7910995483,Puttaparthi
Basanth Nagar Airport,small_airport,18.701,79.3923,Ramagundam
Ramnad Naval Air Station,small_airport,9.32509,78.971497,Ramnad
Raichur Airport,small_airport,16.279722,77.360278,
Rajahmundry Airport,medium_airport,17.105799,81.813204,Madhurapudi
Salem Airport,medium_airport,11.78330039978,78.06559753418,Salem
Coimbatore Air Force Station,small_airport,11.0136,77.159698,Sulur
Thanjavur Air Force Station,small_airport,10.723835,79.109457,Thanjavur
Tuticorin Airport,small_airport,8.724241,78.025803,Vagaikulam
Tirupati International Airport,large_airport,13.631988,79.539869,Tirupati
Tiruchirappalli International Airport,large_airport,10.762915,78.717741,Tiruchirappalli
Thiruvananthapuram International Airport,large_airport,8.481889,76.920029,Thiruvananthapuram
Tambaram Air Force Station,small_airport,12.9072,80.121902,Chennai
Vellore Airport,small_airport,12.9088,79.066803,Vellore
Warangal Airport,small_airport,17.9144,79.602203,Warangal
Yelahanka Air Force Station,small_airport,13.135499954223633,77.60600280761719,Yelahanka
